"Variant SKU",handle,Command,"Body HTML","Image Command","Inventory Available:Pink Kimberley Head Office","Tags Command",Tags,Title,Type,"Variant Cost","Variant Image",Metafield:custom.specifications,"Variant Price","Variant Command",Vendor,"Image Src",Status,Metafield:custom.centrecolour,"Variant Inventory Policy","Variant Inventory Tracker","Variant Fulfillment Service"
BPB-RDDRB0101,blush-sway-bracelet-bpb-rddrb0101,MERGE,"Beautiful natural Australian Argyle pink diamonds set between delicate strands of 18ct rose and white gold.",REPLACE,4,REPLACE,"BP-set,christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Sway Bracelet",Bracelets,338.69,https://samsgroup.info/pim-images/BPB-RDDRB0101.jpg,"18ct Rose & White Gold = 1.64gm<br>Pink Round Brilliant Cut 5 = 0.14ct FLP/SI<br>",2195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0101.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0101_4.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0201,blush-sunday-bracelet-bpb-rddrb0201,MERGE,"A stunning circle of natural Australian Argyle pink diamonds set on a fine chain. Crafted in 18ct rose and white gold.",REPLACE,4,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Sunday Bracelet",Bracelets,312.08,https://samsgroup.info/pim-images/BPB-RDDRB0201.jpg,"18ct Rose & White Gold = 2.02gm<br>Pink Round Brilliant Cut 20 = 0.1ct FLP/SI<br>",2095.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0201.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0201_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0201_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0201_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0301,blush-infinite-love-bracelet-bpb-rddrb0301,MERGE,"A beautiful twist of natural Australian Argyle pink diamonds set on a fine 18ct white gold chain.",REPLACE,5,REPLACE,"BP-set,halo,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Infinite Love Bracelet",Bracelets,494.31,https://samsgroup.info/pim-images/BPB-RDDRB0301.jpg,"18ct Rose & White Gold = 2.05gm<br>Pink Round Brilliant Cut 39 = 0.21ct FLP/SI<br>",3195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0301.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0301_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0301_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0301_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0401,blush-butterfly-bracelet-bpb-rddrb0401,MERGE,"A delicate blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,3,REPLACE,"floral, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Butterfly Bracelet",Bracelets,268.08,https://samsgroup.info/pim-images/BPB-RDDRB0401.jpg,"18ct Rose & White Gold = 1.92gm<br>Pink Round Brilliant Cut 9 = 0.08ct FLP/SI<br>",1795.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0401.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0401_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0401_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0501,blush-cross-bracelet-bpb-rddrb0501,MERGE,"A delicate blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,5,REPLACE,"cross,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Cross Bracelet",Bracelets,292.69,https://samsgroup.info/pim-images/BPB-RDDRB0501.jpg,"18ct Rose & White Gold = 1.67gm<br>Pink Round Brilliant Cut 12 = 0.10ct FLP/SI<br>",1950.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0501.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0501_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0501_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0601,blush-petali-bracelet-bpb-rddrb0601,MERGE,"An asymmetrically designed bracelet featuring Australian Argyle pink diamonds pave set in a lovely petal adorn beautifully with a circle of white diamond. Sets in 18ct rose and white gold",REPLACE,5,REPLACE,"BP-set,halo,floral, christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Petali Bracelet",Bracelets,340.38,https://samsgroup.info/pim-images/BPB-RDDRB0601.jpg,"18ct Rose & White Gold = 1.89gm<br>Pink Round Brilliant Cut 6 = 0.06ct FLP/SI<br>Round Brilliant Cut 11 = 0.08ct G/SI<br>incl. 18ct White Gold Chain = 0.53gm 16cm<br>",2195.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0601.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0601_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0601_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0601_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPB-RDDRB0701,blush-iria-bracelet-bpb-rddrb0701,MERGE,"A gorgeous asymmetric 4 leaf bracelet set with Australian Argyle pink diamonds subtly finished dainty white diamonds. These lovely earrings are made from 18ct rose and white gold.",REPLACE,2,REPLACE,"BP-set,floral,, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Bracelets, Bracelets, Rose Gold Metal, Preorder, ","Blush Iria Bracelet",Bracelets,380.77,https://samsgroup.info/pim-images/BPB-RDDRB0701.jpg,"18ct Rose & White Gold = 2.14gm<br>Pink Round Brilliant Cut 6 = 0.06ct FLP/SI<br>Round Brilliant Cut 24 = 0.09ct G/SI<br>incl. 18ct White Gold Chain = 0.53gm 17cm<br>",2750.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPB-RDDRB0701.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0701_4.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0701_5.jpg;https://samsgroup.info/pim-images/BPB-RDDRB0701_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDCPB0201,blush-brielle-ring-bpd-rdcpb0201,MERGE,"A unique and trendy ring featuring Argyle pink diamonds and glistening white diamonds in an intricate twist design. Brielle is set in 18ct Rose and White Gold, a durable and long lasting precious metal.",REPLACE,7,REPLACE,"stackable
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Brielle Ring",Rings,721.38,https://samsgroup.info/pim-images/BPD-RDCPB0201.jpg,"18ct Rose & White Gold = 4.00gm<br>Pink Round Brilliant Cut 11 = 0.10ct FLP/SIAV<br>Round Brilliant Cut 12 = 0.06ct G/SI<br>",3650.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDCPB0201.jpg;https://samsgroup.info/pim-images/BPD-RDCPB0201_4.jpg;https://samsgroup.info/pim-images/BPD-RDCPB0201_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0102,blush-mirikel-ring-bpd-rdntb0102,MERGE,"A striking blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,8,REPLACE,"dress, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Mirikel Ring",Rings,780.00,https://samsgroup.info/pim-images/BPD-RDNTB0102.jpg,"18ct Rose & White Gold = 5.07gm<br>Pink Round Brilliant Cut 1 = 0.07ct FLP/SI<br>Pink Round Brilliant Cut 16 = 0.10ct FLP/SI<br>Round Brilliant Cut 38  = 0.16ct G/SI<br>",5050.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0102.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0102_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0102_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0201,blush-grace-ring-bpd-rdntb0201,MERGE,"A stunning blend of natural Australian Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,6,REPLACE,"dress, christmas 2023
, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Grace Ring",Rings,692.00,https://samsgroup.info/pim-images/BPD-RDNTB0201.jpg,"18ct Rose & White Gold = 5.13gm<br>Pink Round Brilliant Cut 19 = 0.1ct FLP/SI<br>Round Brilliant Cut 42 = 0.18ct G/SI<br>",4450.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0201.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0201_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0201_5.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
BPD-RDNTB0301,blush-kaila-ring-bpd-rdntb0301,MERGE,"An exceptional deco style band featuring beautifully set natural Argyle pink diamonds with fine white diamonds. Crafted in 18ct rose and white gold.",REPLACE,7,REPLACE,"dress, Blush Pink Diamonds, FLP, P - Pink, Round, SIAV, Rings, Rings, Rose Gold Metal, Preorder, ","Blush Kaila Ring",Rings,941.15,https://samsgroup.info/pim-images/BPD-RDNTB0301.jpg,"18ct Rose & White Gold = 5.71gm<br>Pink Round Brilliant Cut 9 = 0.19ct FLP/SI<br>Round Brilliant Cut 38 = 0.23ct G/SI<br>",6495.00,MERGE,"Blush Pink Diamonds",https://samsgroup.info/pim-images/BPD-RDNTB0301.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0301_4.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0301_5.jpg;https://samsgroup.info/pim-images/BPD-RDNTB0301_6.jpg;https://samsgroup.info/pim-images/bp-box.jpg,active,FLP,deny,shopify,manual
