stock_code,name,EAN,qty_avail,qty_held,order_qty_min,order_qty_step,price,rrp,special,cost,image,description,category,subcategory,"Custom field 1","Custom field 2","Custom field 3","Custom field 4","Custom field 5","Custom field 6","Custom field 7","Custom field 8","Custom field 9"
04-16G,"Gents Elegance GP S/Steel Strap Swiss Quartz Mineral Glass",04-16G,1.00,,1,,86.00,215.00,,,04-16G,,"Classique Watches","Strap Watch","Gents Elegance","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 1.00 - Appro: 1",,
04-21G,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",04-21G,21.00,,1,,100.00,250.00,,,04-21G,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 21.00",,
04-26G-STRP,"Ladies Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass Date",04-26G-STRP,26.00,,1,,92.00,230.00,,,04-26G-STRP,,"Classique Watches","Strap Watch","Ladies Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 26.00",,
04-35G,"William Gents Elegance GP S/Steel Strap Swiss Quartz Mineral Glass 35mm Date",04-35G,126.00,,1,,86.00,215.00,,,04-35G,,"Classique Watches","Strap Watch","Gents Elegance","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 128.00 - Appro: 16",,
04-35W,"William Gents Elegance RH S/Steel Strap Swiss Quartz Mineral Glass 35mm Date",04-35W,224.00,,1,,86.00,215.00,,,04-35W,,"Classique Watches","Strap Watch","Gents Elegance","RH S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 226.00 - Appro: 9",,
04-36G,"Skylar Ladies Elegance GP S/Steel Strap Swiss Quartz Mineral Glass 28mm Date",04-36G,83.00,,1,,86.00,215.00,,,04-36G,,"Classique Watches","Strap Watch","Ladies Elegance","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 83.00 - Appro: 5",,
04-36R,"Skylar Ladies Elegance RGP S/Steel Strap Swiss Quartz Mineral Glass 28mm Date",04-36R,56.00,,1,,86.00,215.00,,,04-36R,,"Classique Watches","Strap Watch","Ladies Elegance","RGP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 56.00",,
04-36W,"Skylar Ladies Elegance RH S/Steel Strap Swiss Quartz Mineral Glass 28mm Date",04-36W,227.00,,1,,86.00,215.00,,,04-36W,,"Classique Watches","Strap Watch","Ladies Elegance","RH S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 227.00 - Appro: 7",,
04-39G,"Gents Elegance GP S/Steel Strap Swiss Quartz Mineral Glass",04-39G,10.00,,1,,86.00,215.00,,,04-39G,,"Classique Watches","Strap Watch","Gents Elegance","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 11.00 - Appro: 2",,
04-41G,"Gents Clearance 50% GP S/Steel Strap Swiss Quartz Mineral Glass",04-41G,9.00,,1,,84.00,210.00,,,04-41G,,"Classique Watches","Strap Watch","Gents Clearance 50%","GP S/Steel",,Strap,,"Swiss Quartz Mineral Glass","W/H: 9.00",,
