"Variant SKU",handle,Command,"Body HTML","Image Command","Inventory Available:Sapphire Dreams Head Office","Tags Command",Tags,Title,Type,"Variant Cost","Variant Image","Variant Price","Variant Command",Vendor,"Image Src",Status,"Variant Inventory Policy",Metafield:custom.metal_colour,Metafield:custom.metal_info,Metafield:custom.stone_info,Metafield:custom.stone_shape,Metafield:title_tag,Metafield:custom.certification,Metafield:custom.specifications,Metafield:custom.stone_colour,Metafield:custom.stone_specifications,"Variant Inventory Tracker","Variant Fulfillment Service"
SDB-MXTEWM001,adaliya-multicolour-9ct-white-gold-bracelet-sdb-mxtewm001,MERGE,"The Adaliya bracelet showcases a myriad of different cuts and colours of Australian sapphires, a true reflection of natural Australian luxury.",REPLACE,1,REPLACE,"Multicolour, Multishape, Bracelets, White Gold, 9ct White Gold, Bracelets, tennis, multicolour, 3.00ct - 3.99ct","Adaliya Bracelet",Bracelets,2056.57,https://samsgroup.info/pim-images/SDB-MXTEWM001.jpg,12795.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-MXTEWM001.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM001_4.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"White Gold","9ct White Gold","3.30ct Multicolour Sapphire, Multishape",Multishape,"Adaliya Multicolour Multishape Shape 9ct White Gold Bracelet",NO,"9ct White Gold = 8.23gm<br>Multi Colour and Shape Sapphire 30 = 14.16ct<br>",Multicolour,,shopify,manual
SDB-MXTEWM002,adaliya-multicolour-9ct-white-gold-bracelet-sdb-mxtewm002,MERGE,"The Adaliya bracelet showcases a myriad of different cuts and colours of Australian sapphires, a true reflection of natural Australian luxury.",REPLACE,1,REPLACE,"Multicolour, Multishape, Bracelets, White Gold, 9ct White Gold, Bracelets, tennis, multicolour, christmas2023
, 3.00ct - 3.99ct","Adaliya Bracelet",Bracelets,2106.07,https://samsgroup.info/pim-images/SDB-MXTEWM002.jpg,12795.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-MXTEWM002.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM002_4.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM002_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"White Gold","9ct White Gold","3.30ct Multicolour Sapphire, Multishape",Multishape,"Adaliya Multicolour Multishape Shape 9ct White Gold Bracelet",NO,"9ct White Gold = 8.68gm<br>Multi Colour and Shape Sapphire 30 = 14.16ct<br>",Multicolour,,shopify,manual
SDB-MXTEYM001,adaliya-multicolour-9ct-yellow-gold-bracelet-sdb-mxteym001,MERGE,"The Adaliya bracelet showcases a myriad of different cuts and colours of Australian sapphires, a true reflection of natural Australian luxury.",REPLACE,1,REPLACE,"Multicolour, Multishape, Bracelets, Yellow Gold, 9ct Yellow Gold, Bracelets, tennis, multicolour, 3.00ct - 3.99ct","Adaliya Bracelet",Bracelets,2191.35,https://samsgroup.info/pim-images/SDB-MXTEYM001.jpg,12795.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-MXTEYM001.jpg;https://samsgroup.info/pim-images/SDB-MXTEYM001_4.jpg;https://samsgroup.info/pim-images/SDB-MXTEYM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"Yellow Gold","9ct Yellow Gold","3.30ct Multicolour Sapphire, Multishape",Multishape,"Adaliya Multicolour Multishape Shape 9ct Yellow Gold Bracelet",NO,"9ct Yellow Gold = 7.80gm<br>Multi Colour and Shape Sapphire 30 = 14.16ct<br>",Multicolour,,shopify,manual
SDB-OVDRRM001,ophelia-multicolour-9ct-rose-gold-bracelet-sdb-ovdrrm001,MERGE,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",REPLACE,1,REPLACE,"Multicolour, Multishape, Bracelets, Rose Gold, 9ct Rose Gold, Bracelets, set, multicolour, floral, cluster,christmas2023
, Less than 1.00ct","Ophelia Bracelet",Bracelets,286.24,https://samsgroup.info/pim-images/SDB-OVDRRM001.jpg,1450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVDRRM001.jpg;https://samsgroup.info/pim-images/SDB-OVDRRM001_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRRM001_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRRM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"Rose Gold","9ct Rose Gold","0.09ct Multicolour Sapphire, Multishape",Multishape,"Ophelia Multicolour Multishape Shape 9ct Rose Gold Bracelet",NO,"9ct Rose Gold = 1.67gm<br>Multi Colour and Shape Sapphire 5 = 0.91ct<br>incl. 9ct Rose Gold Chain 0.45gm 18cm<br>",Multicolour,,shopify,manual
SDB-OVDRWM002,ophelia-multicolour-9ct-white-gold-bracelet-sdb-ovdrwm002,MERGE,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",REPLACE,1,REPLACE,"Multicolour, Multishape, Bracelets, White Gold, 9ct White Gold, Bracelets, set, multicolour, floral, cluster, Less than 1.00ct","Ophelia Bracelet",Bracelets,280.76,https://samsgroup.info/pim-images/SDB-OVDRWM002.jpg,1450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVDRWM002.jpg;https://samsgroup.info/pim-images/SDB-OVDRWM002_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRWM002_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRWM002_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"White Gold","9ct White Gold","0.09ct Multicolour Sapphire, Multishape",Multishape,"Ophelia Multicolour Multishape Shape 9ct White Gold Bracelet",NO,"9ct White Gold = 1.73gm<br>Multi Colour and Shape Sapphire 5 = 0.95ct<br>incl. 9ct White Gold Chain 0.45gm 18cm<br>",Multicolour,,shopify,manual
SDB-OVDRYM001,ophelia-multicolour-9ct-yellow-gold-bracelet-sdb-ovdrym001,MERGE,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",REPLACE,2,REPLACE,"Multicolour, Multishape, Bracelets, Yellow Gold, 9ct Yellow Gold, Bracelets, set, multicolour, floral, cluster, Less than 1.00ct","Ophelia Bracelet",Bracelets,285.49,https://samsgroup.info/pim-images/SDB-OVDRYM001.jpg,1450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVDRYM001.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM001_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM001_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"Yellow Gold","9ct Yellow Gold","0.09ct Multicolour Sapphire, Multishape",Multishape,"Ophelia Multicolour Multishape Shape 9ct Yellow Gold Bracelet",NO,"9ct Yellow Gold = 1.55gm<br>Multi Colour and Shape Sapphire 5 = 0.94ct<br>incl. 9ct Yellow Gold Chain 0.45gm 18cm<br>",Multicolour,,shopify,manual
SDB-OVDRYM002,ophelia-multicolour-9ct-yellow-gold-bracelet-sdb-ovdrym002,MERGE,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",REPLACE,2,REPLACE,"Multicolour, Multishape, Bracelets, Yellow Gold, 9ct Yellow Gold, Bracelets, set, multicolour, floral, cluster, Less than 1.00ct","Ophelia Bracelet",Bracelets,285.49,https://samsgroup.info/pim-images/SDB-OVDRYM002.jpg,1450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVDRYM002.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM002_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM002_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM002_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"Yellow Gold","9ct Yellow Gold","0.09ct Multicolour Sapphire, Multishape",Multishape,"Ophelia Multicolour Multishape Shape 9ct Yellow Gold Bracelet",NO,"9ct Yellow Gold = 1.59gm<br>Multi Colour and Shape Sapphire 5 = 0.94ct<br>incl. 9ct Yellow Gold Chain 0.45gm 18cm<br>",Multicolour,,shopify,manual
SDB-OVDRYM003,ophelia-multicolour-9ct-yellow-gold-bracelet-sdb-ovdrym003,MERGE,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",REPLACE,2,REPLACE,"Multicolour, Multishape, Bracelets, Yellow Gold, 9ct Yellow Gold, Bracelets, set, multicolour, floral, cluster, Less than 1.00ct","Ophelia Bracelet",Bracelets,293.09,https://samsgroup.info/pim-images/SDB-OVDRYM003.jpg,1450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVDRYM003.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM003_2.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,active,deny,"Yellow Gold","9ct Yellow Gold","0.09ct Multicolour Sapphire, Multishape",Multishape,"Ophelia Multicolour Multishape Shape 9ct Yellow Gold Bracelet",NO,"9ct Yellow Gold = 1.55gm<br>Multi Colour and Shape Sapphire 5 = 0.94ct<br>incl. 9ct Yellow Gold Chain 0.45gm 18cm<br>",Multicolour,,shopify,manual
SDB-OVTEWT001,amara-teal-18ct-white-gold-bracelet-sdb-ovtewt001,MERGE,"A unique take on the popular tennis bracelet design, this piece showcases an array of oval cut teal sapphires separated by sparkling white diamonds. Crafted in 18ct white gold, this piece is luxurious and stunning.",REPLACE,1,REPLACE,"Teal, Oval, Bracelets, White Gold, 18ct White Gold, Bracelets, tennis, bracelet, sapphire and diamond, Greater than 4.00ct","Amara Bracelet",Bracelets,4396.16,https://samsgroup.info/pim-images/SDB-OVTEWT001.jpg,20450.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVTEWT001.jpg;https://samsgroup.info/pim-images/SDB-OVTEWT001_4.jpg;https://samsgroup.info/pim-images/SDB-OVTEWT001_5.jpg;,active,deny,"White Gold","18ct White Gold","11.00ct Teal Sapphire, Oval",Oval,"Amara Teal Oval Shape 18ct White Gold Bracelet",NO,"18ct White Gold = 14.39gm<br>Teal Sapphire Oval Cut 18 = 11.00ct<br>Round Brilliant Cut 72 = 1.52ct G/SI<br>",Teal,,shopify,manual
SDB-OVTEYB001,amara-blue-18ct-white-yellow-gold-bracelet-sdb-ovteyb001,MERGE,"A unique take on the popular tennis bracelet design, this piece showcases an array of oval cut blue sapphires separated by sparkling white diamonds. Crafted in 18ct white & yellow gold, this piece is luxurious and stunning.",REPLACE,1,REPLACE,"Blue, Oval, Bracelets, White Gold, 18ct White & Yellow Gold, Bracelets, tennis, bracelet, sapphire and diamond, Greater than 4.00ct","Amara Bracelet",Bracelets,5047.05,https://samsgroup.info/pim-images/SDB-OVTEYB001.jpg,23495.00,MERGE,"Sapphire Dreams",https://samsgroup.info/pim-images/SDB-OVTEYB001.jpg;https://samsgroup.info/pim-images/SDB-OVTEYB001_4.jpg;https://samsgroup.info/pim-images/SDB-OVTEYB001_5.jpg;,active,deny,"White Gold","18ct White & Yellow Gold","10.70ct Blue Sapphire, Oval",Oval,"Amara Blue Oval Shape 18ct White & Yellow Gold Bracelet",NO,"18ct White & Yellow Gold = 18.17gm<br>Blue Sapphire Oval Cut 18 = 10.70ct<br>Round Brilliant Cut 72 = 1.49ct G/SI<br>",Blue,,shopify,manual
