"Variant SKU",Command,Handle,"Body HTML","Inventory Available:Home","Inventory Available:MD","Inventory Available:PS",Status,Tags,"Tags Command",Title,Type,"Variant Barcode","Variant Command","Variant Cost","Variant Inventory Policy","Variant Inventory Tracker","Variant Price",Vendor,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Image Src","Image Command","Variant Image",Metafield:custom.argyle_colour,Metafield:custom.certification,Metafield:custom.product_caratprice,Metafield:custom.product_rrp,Metafield:custom.specifications,Metafield:custom.stone_carat,Metafield:custom.stone_clarity,Metafield:custom.stone_colour,Metafield:custom.stone_measurement,Metafield:custom.stone_shape,Metafield:custom.table_specifications,"Variant Fullfilment Service"
SDB-MXTEWM001,,adaliya-multicolour-9ct-white-gold-bracelet-sdb-mxtewm001,"The Adaliya bracelet showcases a myriad of different cuts and colours of Australian sapphires, a true reflection of natural Australian luxury.",1,0.00,1.00,,"tennis, multicolour, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct White Gold, White Gold Metal, 3.00ct - 3.99ct",REPLACE,"Adaliya Bracelet",Bracelets,SDB-MXTEWM001,MERGE,2056.57,deny,shopify,5112.25,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-MXTEWM001.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM001_4.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-MXTEWM001.jpg,,NO,0.00,12795.00,"9ct White Gold = 8.23gm<br>Multi Colour and Shape Sapphire 30 = 14.16ct<br>",3.30,,Multicolour,6.00x4.00mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-MXTEWM002,,adaliya-multicolour-9ct-white-gold-bracelet-sdb-mxtewm002,"The Adaliya bracelet showcases a myriad of different cuts and colours of Australian sapphires, a true reflection of natural Australian luxury.",1,0.00,0.00,,"tennis, multicolour, christmas2023
, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct White Gold, White Gold Metal, 3.00ct - 3.99ct",REPLACE,"Adaliya Bracelet",Bracelets,SDB-MXTEWM002,MERGE,2106.07,deny,shopify,5112.25,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-MXTEWM002.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM002_4.jpg;https://samsgroup.info/pim-images/SDB-MXTEWM002_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-MXTEWM002.jpg,,NO,0.00,12795.00,"9ct White Gold = 8.68gm<br>Multi Colour and Shape Sapphire 30 = 14.16ct<br>",3.30,,Multicolour,6.00x4.00mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-MXTEYM001,,adaliya-multicolour-9ct-yellow-gold-bracelet-sdb-mxteym001,"The Adaliya bracelet showcases a myriad of different cuts and colours of Australian sapphires, a true reflection of natural Australian luxury.",1,1.00,0.00,,"tennis, multicolour, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct Yellow Gold, Yellow Gold Metal, 3.00ct - 3.99ct",REPLACE,"Adaliya Bracelet",Bracelets,SDB-MXTEYM001,MERGE,2191.35,deny,shopify,5112.25,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-MXTEYM001.jpg;https://samsgroup.info/pim-images/SDB-MXTEYM001_4.jpg;https://samsgroup.info/pim-images/SDB-MXTEYM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-MXTEYM001.jpg,,NO,0.00,12795.00,"9ct Yellow Gold = 7.80gm<br>Multi Colour and Shape Sapphire 30 = 14.16ct<br>",3.30,,Multicolour,6.00x4.00mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVDRRM001,,ophelia-multicolour-9ct-rose-gold-bracelet-sdb-ovdrrm001,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",1,1.00,0.00,,"set, multicolour, floral, cluster,christmas2023
, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct Rose Gold, Rose Gold Metal, Less than 1.00ct",REPLACE,"Ophelia Bracelet",Bracelets,SDB-OVDRRM001,MERGE,286.24,deny,shopify,578.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVDRRM001.jpg;https://samsgroup.info/pim-images/SDB-OVDRRM001_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRRM001_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRRM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-OVDRRM001.jpg,,NO,0.00,1450.00,"9ct Rose Gold = 1.67gm<br>Multi Colour and Shape Sapphire 5 = 0.91ct<br>incl. 9ct Rose Gold Chain 0.45gm 18cm<br>",0.09,,Multicolour,2.50mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVDRWM002,,ophelia-multicolour-9ct-white-gold-bracelet-sdb-ovdrwm002,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",1,1.00,0.00,,"set, multicolour, floral, cluster, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct White Gold, White Gold Metal, Less than 1.00ct",REPLACE,"Ophelia Bracelet",Bracelets,SDB-OVDRWM002,MERGE,280.76,deny,shopify,578.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVDRWM002.jpg;https://samsgroup.info/pim-images/SDB-OVDRWM002_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRWM002_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRWM002_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-OVDRWM002.jpg,,NO,0.00,1450.00,"9ct White Gold = 1.73gm<br>Multi Colour and Shape Sapphire 5 = 0.95ct<br>incl. 9ct White Gold Chain 0.45gm 18cm<br>",0.09,,Multicolour,2.50mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVDRYM001,,ophelia-multicolour-9ct-yellow-gold-bracelet-sdb-ovdrym001,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",2,1.00,1.00,,"set, multicolour, floral, cluster, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Ophelia Bracelet",Bracelets,SDB-OVDRYM001,MERGE,285.49,deny,shopify,578.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVDRYM001.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM001_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM001_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM001_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-OVDRYM001.jpg,,NO,0.00,1450.00,"9ct Yellow Gold = 1.55gm<br>Multi Colour and Shape Sapphire 5 = 0.94ct<br>incl. 9ct Yellow Gold Chain 0.45gm 18cm<br>",0.09,,Multicolour,2.50mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVDRYM002,,ophelia-multicolour-9ct-yellow-gold-bracelet-sdb-ovdrym002,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",2,0.00,1.00,,"set, multicolour, floral, cluster, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Ophelia Bracelet",Bracelets,SDB-OVDRYM002,MERGE,285.49,deny,shopify,578.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVDRYM002.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM002_2.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM002_4.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM002_5.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-OVDRYM002.jpg,,NO,0.00,1450.00,"9ct Yellow Gold = 1.59gm<br>Multi Colour and Shape Sapphire 5 = 0.94ct<br>incl. 9ct Yellow Gold Chain 0.45gm 18cm<br>",0.09,,Multicolour,2.50mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVDRYM003,,ophelia-multicolour-9ct-yellow-gold-bracelet-sdb-ovdrym003,"The Ophelia Bracelet features a delicate cluster of Australian sapphires in a floral arrangement. This unique design showcases the beautiful colour spectrum of Australian sapphires.",2,1.00,1.00,,"set, multicolour, floral, cluster, Sapphire Dreams, Multicolour, Multishape, Bracelets, Bracelets, 9ct Yellow Gold, Yellow Gold Metal, Less than 1.00ct",REPLACE,"Ophelia Bracelet",Bracelets,SDB-OVDRYM003,MERGE,293.09,deny,shopify,578.50,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVDRYM003.jpg;https://samsgroup.info/pim-images/SDB-OVDRYM003_2.jpg;https://samsgroup.info/pim-images/sdb-9-box-card.jpg,REPLACE,https://samsgroup.info/pim-images/SDB-OVDRYM003.jpg,,NO,0.00,1450.00,"9ct Yellow Gold = 1.55gm<br>Multi Colour and Shape Sapphire 5 = 0.94ct<br>incl. 9ct Yellow Gold Chain 0.45gm 18cm<br>",0.09,,Multicolour,2.50mm,Multishape,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVTEWT001,,amara-teal-18ct-white-gold-bracelet-sdb-ovtewt001,"A unique take on the popular tennis bracelet design, this piece showcases an array of oval cut teal sapphires separated by sparkling white diamonds. Crafted in 18ct white gold, this piece is luxurious and stunning.",1,0.00,0.00,,"tennis, bracelet, sapphire and diamond, Sapphire Dreams, Teal, Oval, Bracelets, Bracelets, 18ct White Gold, White Gold Metal, Greater than 4.00ct",REPLACE,"Amara Bracelet",Bracelets,SDB-OVTEWT001,MERGE,4396.16,deny,shopify,8177.47,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVTEWT001.jpg;https://samsgroup.info/pim-images/SDB-OVTEWT001_4.jpg;https://samsgroup.info/pim-images/SDB-OVTEWT001_5.jpg;,REPLACE,https://samsgroup.info/pim-images/SDB-OVTEWT001.jpg,,NO,0.00,20450.00,"18ct White Gold = 14.39gm<br>Teal Sapphire Oval Cut 18 = 11.00ct<br>Round Brilliant Cut 72 = 1.52ct G/SI<br>",11.00,,Teal,6.00X4.00mm,Oval,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
SDB-OVTEYB001,,amara-blue-18ct-white-yellow-gold-bracelet-sdb-ovteyb001,"A unique take on the popular tennis bracelet design, this piece showcases an array of oval cut blue sapphires separated by sparkling white diamonds. Crafted in 18ct white & yellow gold, this piece is luxurious and stunning.",1,0.00,1.00,,"tennis, bracelet, sapphire and diamond, Sapphire Dreams, Blue, Oval, Bracelets, Bracelets, 18ct White & Yellow Gold, White Gold Metal, Greater than 4.00ct",REPLACE,"Amara Bracelet",Bracelets,SDB-OVTEYB001,MERGE,5047.05,deny,shopify,9393.18,"Sapphire Dreams",,,,,,,https://samsgroup.info/pim-images/SDB-OVTEYB001.jpg;https://samsgroup.info/pim-images/SDB-OVTEYB001_4.jpg;https://samsgroup.info/pim-images/SDB-OVTEYB001_5.jpg;,REPLACE,https://samsgroup.info/pim-images/SDB-OVTEYB001.jpg,,NO,0.00,23495.00,"18ct White & Yellow Gold = 18.17gm<br>Blue Sapphire Oval Cut 18 = 10.70ct<br>Round Brilliant Cut 72 = 1.49ct G/SI<br>",10.70,,Blue,6.00x4.00mm,Oval,"<div class='col-md-6'><table><tr class='watchtype'><td><b>Watch Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td>Wrist Watch</td></tr><tr class='movementtype'><td><b>Movement Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='dialcolour'><td><b>Dial</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='casedimension'><td><b>Case Dimension</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='Glass'><td><b>Glass</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div><div class='col-md-6'><table><tr class='waterresistance'><td><b>Water Resistance</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='gender'><td><b>Gender</b></div></td><td></td></tr><tr class='straptype'><td><b>Strap Type</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr><tr class='specialfeatures'><td><b>Special Features</b><i class='las la-question-circle'></i><div class='arr-left'></div></td><td></td></tr></table></div>",manual
