SKU,Brand,Measurement,Stone_Intensity,Product_Type,Stone_Specifications,Stone_Shape,Collections,Carat_Weight,Stone_Colour,Treatment,Description,Centre_Stone_SKU
SDD-BGNPWP001,"Sapphire Dreams",7.00x3.50mm,0.65,Rings,"ID No.: SDD-BGNPWP001<br>Colour: PARTI<br>Shape: BAGUETTE<br>Weight: 0.65ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.65,Parti,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-BGNPWT001,"Sapphire Dreams",7.00x3.50mm,0.75,Rings,"ID No.: SDD-BGNPWT001<br>Colour: TEAL<br>Shape: BAGUETTE<br>Weight: 0.75ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.75,Teal,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-BGNPWT002,"Sapphire Dreams",7.00x3.50mm,0.66,Rings,"ID No.: SDD-BGNPWT002<br>Colour: TEAL<br>Shape: BAGUETTE<br>Weight: 0.66ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.66,Teal,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-BGNPWY001,"Sapphire Dreams",7.00x3.50mm,0.73,Rings,"ID No.: SDD-BGNPWY001<br>Colour: YELLOW<br>Shape: BAGUETTE<br>Weight: 0.73ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.73,Yellow,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-BGNPYP001,"Sapphire Dreams",7.00x3.50mm,0.69,Rings,"ID No.: SDD-BGNPYP001<br>Colour: PARTI<br>Shape: BAGUETTE<br>Weight: 0.69ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.69,Parti,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-BGNPYT001,"Sapphire Dreams",7.00x3.50mm,0.77,Rings,"ID No.: SDD-BGNPYT001<br>Colour: BLUE TEAL<br>Shape: BAGUETTE<br>Weight: 0.77ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.77,"Blue Teal",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-BGNPYT002,"Sapphire Dreams",7.00x3.50mm,0.79,Rings,"ID No.: SDD-BGNPYT002<br>Colour: TEAL<br>Shape: BAGUETTE<br>Weight: 0.79ct<br>Size: 7.00x3.50mm<br>Origin: AUSTRALIA",Baguette,Signet,0.79,Teal,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-EMNPYB001,"Sapphire Dreams",8.50x6.30mm,2.12,Rings,"ID No.: SDD-EMNPYB001<br>Colour: BLUE<br>Shape: EMERALD<br>Weight: 2.12ct<br>Size: 8.50x6.30mm<br>Origin: AUSTRALIA",Emerald,Signet,2.12,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPRT001,"Sapphire Dreams",8.00x6.00mm,1.46,Rings,"ID No.: SDD-OVNPRT001<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 1.46ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.46,Teal,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB001,"Sapphire Dreams",8.00x6.00mm,1.56,Rings,"ID No.: SDD-OVNPWB001<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.56ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.56,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB002,"Sapphire Dreams",8.00x6.00mm,1.30,Rings,"ID No.: SDD-OVNPWB002<br>Colour: BLUE <br>Shape: OVAL<br>Weight: 1.30ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.30,"Blue ",Unheated,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB003,"Sapphire Dreams",8.00x6.00mm,1.36,Rings,"ID No.: SDD-OVNPWB003<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.36ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.36,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB004,"Sapphire Dreams",8.00x6.00mm,1.30,Rings,"ID No.: SDD-OVNPWB004<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.30ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.30,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB005,"Sapphire Dreams",8.00x6.00mm,1.44,Rings,"ID No.: SDD-OVNPWB005<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.44ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.44,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB006,"Sapphire Dreams",8.00x6.00mm,1.39,Rings,"ID No.: SDD-OVNPWB006<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.39ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.39,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWB007,"Sapphire Dreams",8.00x6.00mm,1.69,Rings,"ID No.: SDD-OVNPWB007<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.69ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Rings,1.69,Blue,,,
SDD-OVNPWG001,"Sapphire Dreams",8.20x6.00mm,1.53,Rings,"ID No.: SDD-OVNPWG001<br>Colour: GREEN <br>Shape: OVAL<br>Weight: 1.53ct<br>Size: 8.20x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.53,"Green ",Unheated,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWT002,"Sapphire Dreams",8.00x6.00mm,1.54,Rings,"ID No.: SDD-OVNPWT002<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 1.54ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.54,Teal,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPWT003,"Sapphire Dreams",8.00x6.00mm,1.37,Rings,"ID No.: SDD-OVNPWT003<br>Colour: TEAL<br>Shape: OVAL<br>Weight: 1.37ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.37,Teal,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYB002,"Sapphire Dreams",8.00x6.00mm,1.44,Rings,"ID No.: SDD-OVNPYB002<br>Colour: BLUE <br>Shape: OVAL<br>Weight: 1.44ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.44,"Blue ",Unheated,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYB003,"Sapphire Dreams",8.00x6.00mm,1.57,Rings,"ID No.: SDD-OVNPYB003<br>Colour: BLUE<br>Shape: OVAL<br>Weight: 1.57ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.57,Blue,,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
SDD-OVNPYB004,"Sapphire Dreams",8.00x6.00mm,1.21,Rings,"ID No.: SDD-OVNPYB004<br>Colour: TEAL BLUE<br>Shape: OVAL<br>Weight: 1.21ct<br>Size: 8.00x6.00mm<br>Origin: AUSTRALIA",Oval,Signet,1.21,"Teal Blue",,"The Avery ring has been designed as a unisex piece, suitable for any jewellery taste. Showcasing a stunning Australia sapphire, set as the centre piece of this signet ring, this piece is wearable and stylish. Avery has been crafted in 9ct White, Rose or Yellow Gold.
",
